name,type,start,duration,end
https://outlook.office.com/owa/service.svc?action=SendChannelRoundTripNotification&UA=0&app=Mail&n=893,resource,35678995.70000002,96.69999998807907,35679092.400000006
https://outlook.office.com/owa/service.svc?action=SendChannelRoundTripNotification&UA=0&app=Mail&n=84,resource,429248.5,98.09999999403954,429346.59999999404
https://pnytimes.chartbeat.net/ping?h=nytimes.com&p=nytimes.com%2F&u=DL5WfiBH3pv6BjD-7W&d=nytimes.com&g=16698&g0=Homepage&g1=No%20Author&g6=%2F29390238%2Fnyt%2Fhomepage%7C%7C5&n=0&f=f0033&c=7.51&x=0&m=0&y=13649&o=1228&w=959&j=150&R=0&W=0&I=1&E=0&e=0&r=&PA=https%3A%2F%2Fwww.nytimes.com%2F&b=1130&t=DUNm2LCC-aBuVht71Da95mMD9uxED&V=147&tz=240&_acct=anon&_vi=&_vp=https://vp.nyt.com/video/2024/07/23/121254_1_22vid-harris-campaign_wg_1080p.mp4&_vdd=video%40nytimes.com&_vs=s3&_vt=ct&_vap=&_vtn=&_vd=46410&sn=7&sv=BuuZeUDZglQPBLFmlYDE2lADDnIRDn&sr=external&sd=1&im=06672ff3&_,resource,451844.1999999881,26.700000017881393,451870.90000000596
https://pnytimes.chartbeat.net/ping?h=video%40nytimes.com&g=16698&p=https%3A%2F%2Fvp.nyt.com%2Fvideo%2F2024%2F07%2F17%2F120988_1_18WORKOUT-FOOT-TOE-STRENGTH6_wg_720p.mp4&i=&g0=Homepage&u=CpjfWDBDI8-9CeK5Mn&t=BC7DGuBJqxaoDcZoyLBGORIvDGcTqK&x=0&y=0&V=147&VS=H5&n=0&b=2503&_vd=16808&_vi=The%20New%20York%20Times%20-%20Breaking%20News%2C%20US%20News%2C%20World%20News%20and%20Videos&_vp=nytimes.com%2F&_vh=nytimes.com&_pu=DL5WfiBH3pv6BjD-7W&_pt=DUNm2LCC-aBuVht71Da95mMD9uxED&_pr=&_vdd=nytimes.com&_vt=ct&_vs=s3&_vcs=1&_vbr=-1&_vvs=445.714&_vpt=9909&_vaup=auto&_vce=5&c=7.43&W=0&R=0&I=1&E=5&j=75&tz=240&_,resource,451844.7999999821,28.600000023841858,451873.40000000596
https://pnytimes.chartbeat.net/ping?h=video%40nytimes.com&g=16698&p=https%3A%2F%2Fvp.nyt.com%2Fvideo%2F2024%2F07%2F23%2F121254_1_22vid-harris-campaign_wg_1080p.mp4&i=&g0=Homepage&u=CpjfWDBDI8-9CeK5Mn&t=TCcwXC3xgA8C9Gr7QCzm5LCKnOxS&x=0&y=0&V=147&VS=H5&n=0&b=1134&_vd=46410&_vi=The%20New%20York%20Times%20-%20Breaking%20News%2C%20US%20News%2C%20World%20News%20and%20Videos&_vp=nytimes.com%2F&_vh=nytimes.com&_pu=DL5WfiBH3pv6BjD-7W&_pt=DUNm2LCC-aBuVht71Da95mMD9uxED&_pr=&_vdd=nytimes.com&_vt=ct&_vs=s3&_vcs=1&_vbr=-1&_vvs=450.716&_vpt=9895&_vaup=man&_vce=10&c=7.51&W=0&R=0&I=1&E=10&j=75&tz=240&_,resource,451845.40000000596,28.399999976158142,451873.7999999821
https://outlook.office.com/owa/notificationchannel/ping?UA=0&cid=964608fe-bad9-aa57-3ed6-373c5ccb6d4c&X-OWA-CANARY=bdvoV-b47BAAAAAAAAAAACC-sLFCq9wYOFsJ9IRZ9eAVgqBe1zCIKA8ClFJwlSxG47tweE62n1Q.&app=Mail,resource,35684993,47.20000001788139,35685040.20000002
https://outlook.office.com/owa/service.svc?action=GetAttachmentDownloadToken&UA=0&app=Mail&n=85,resource,453248.7999999821,93.5,453342.2999999821
https://outlook.office.com/owa/service.svc?action=GetAttachmentDownloadToken&UA=0&app=Mail&n=86,resource,460988,76.09999999403954,461064.09999999404
event,keypress,12289035.899999976,,12289035.899999976
event,keypress,12289380.399999976,,12289380.399999976
